family,workload_layers,one_qubit_noise,two_qubit_noise,total_cnot_budget,split_shots,split_mse,split_rmse,dilation_shots,dilation_mse,dilation_rmse,genexp_shots,genexp_mse,genexp_rmse,dil_vs_split_mse_ratio,dil_vs_genexp_mse_ratio
jordan_gamma_1,3,0.00015000000000000001,0.003,100000.0,4166,0.10819704237639786,0.3289331883170165,3846,0.12013442741673062,0.3466041364680038,1162,0.24895796070328133,0.49895687258848465,1.1103300494925246,0.4825490499575225
jordan_gamma_1,3,0.0002,0.004,1000.0,41,0.2186348173315005,0.4675840216811311,38,0.2279490836397744,0.4774401361843958,11,0.5299592222102849,0.7279829820883761,1.0426019351444438,0.4301257041797934
jordan_gamma_1,3,0.0002,0.004,10000.0,416,0.15357926053891743,0.3918918990473233,384,0.16617922151510192,0.4076508573707431,116,0.28343804243920456,0.5323889954151988,1.0820420734672807,0.5862982261837565
jordan_gamma_1,3,0.0002,0.004,100000.0,4166,0.14717676935193733,0.38363624613940916,3846,0.1600725872056975,0.40009072371863047,1162,0.26019017181838616,0.5100883960828615,1.0876212863656693,0.6152138110636587
jordan_gamma_1,3,0.00025,0.005,1000.0,41,0.25058358906598155,0.5005832488867177,38,0.2590216877109486,0.5089417331197635,11,0.5339713748486095,0.7307334499313751,1.0336737879620088,0.485085343356441
jordan_gamma_1,3,0.00025,0.005,10000.0,416,0.1851356466229643,0.4302739204541269,384,0.197084426700193,0.44394191816069023,116,0.28723979220123785,0.5359475647871141,1.064540677579844,0.6861320473387519
jordan_gamma_1,3,0.00025,0.005,100000.0,4166,0.17869453850927322,0.42272276790974156,3846,0.19096124315875293,0.43699112480547353,1162,0.2639720798011013,0.5137821326215046,1.0686462202583944,0.7234145493820374
jordan_gamma_1,4,1.25e-05,0.00025,1000.0,31,0.08264316492515582,0.28747724244739065,29,0.0891683095069611,0.2986106319389199,9,0.2961387988612359,0.5441863640897628,1.0789556473026494,0.3011030970944925
jordan_gamma_1,4,1.25e-05,0.00025,10000.0,312,0.009200592310435747,0.09591971804814559,294,0.009917835021550027,0.09958832773749154,98,0.034265644547055406,0.18510981753287806,1.0779561453125956,0.289439616637893
jordan_gamma_1,4,1.25e-05,0.00025,100000.0,3125,0.0019073109897565325,0.043672771720564434,2941,0.0021121160414526285,0.04595776366896706,980,0.010432245109472684,0.1021383625748557,1.1073789501533986,0.20246035434259357
jordan_gamma_1,4,2.5e-05,0.0005,1000.0,31,0.08742625176513273,0.2956793056085135,29,0.09287196472903943,0.3047490192421289,9,0.3214840343743702,0.5669956211245112,1.0622892192443112,0.28888515384527447
jordan_gamma_1,4,2.5e-05,0.0005,10000.0,312,0.012225862408983035,0.11057062181693217,294,0.013145418756408634,0.11465347250043774,98,0.04992812881622743,0.2234460311042186,1.0752140271716086,0.26328682985083485
jordan_gamma_1,4,2.5e-05,0.0005,100000.0,3125,0.004758019501624375,0.06897839880444004,2941,0.005292809454609019,0.07275169726273759,980,0.02521349022048635,0.15878756317950832,1.1123975958488752,0.20991974567283547
jordan_gamma_1,4,5e-05,0.001,1000.0,31,0.09929971742058044,0.3151185767621142,29,0.10320573070066409,0.32125648740634655,9,0.3624866907466184,0.6020686761048264,1.0393355931068753,0.28471591739848423
