family,workload_layers,one_qubit_noise,two_qubit_noise,split_noisy_variance,split_noisy_bias_squared,dilation_noisy_variance,dilation_noisy_bias_squared,genexp_noisy_variance,genexp_noisy_bias_squared,split_cx_per_shot,dilation_cx_per_shot,genexp_cx_per_shot
neutral_rank_one,3,5e-05,0.001,3.9803887873369463,0.003747309931137626,3.9816363746573633,0.004321968198248225,3.9956080542883763,0.018222054364897444,24.0,26.0,83.0
neutral_rank_one,3,7.500000000000001e-05,0.0015,3.986418136856196,0.007176839941366536,3.9876978937567715,0.008161742882513142,3.9985404398739957,0.026587696394848623,24.0,26.0,83.0
neutral_rank_one,3,0.0001,0.002,3.9906245271249317,0.010905653903841912,3.9917880212095063,0.012240333293708138,3.999511078543732,0.03209528458171897,24.0,26.0,83.0
neutral_rank_one,3,0.00015000000000000001,0.003,3.9955766677709406,0.018157249904406474,3.996379931010021,0.019905829810344163,3.9999436868022777,0.03754031410954927,24.0,26.0,83.0
neutral_rank_one,3,0.0002,0.004,3.997941266859201,0.02429978356303145,3.998427545390126,0.026114619865954557,3.999993259233858,0.03946475589409025,24.0,26.0,83.0
neutral_rank_one,3,0.00025,0.005,3.999055395503899,0.02907690833729073,3.9993273322177765,0.030736316478003803,3.9999990308765496,0.04013478901459911,24.0,26.0,83.0
neutral_rank_one,4,1.25e-05,0.00025,3.8714649330827235,0.00215421631305223,3.8735471664422043,0.002432838917031398,3.915942143988705,0.013207513787027008,32.0,34.0,99.0
neutral_rank_one,4,2.5e-05,0.0005,3.8992901262880193,0.007683565753409947,3.9025327627459676,0.008611097543978362,3.956730092872987,0.038745906195977786,32.0,34.0,99.0
neutral_rank_one,4,5e-05,0.001,3.938337566607496,0.024587801531618138,3.9422598878671318,0.027162320896444443,3.988386545773775,0.08826351933726573,32.0,34.0,99.0
neutral_rank_one,4,7.500000000000001e-05,0.0015,3.962380941390749,0.044629032255543155,3.9659258994994553,0.04865913241312999,3.9968220551044853,0.12144192121797585,32.0,34.0,99.0
neutral_rank_one,4,0.0001,0.002,3.977132082564501,0.0645427715199283,3.9799697625453603,0.06953988884167239,3.9991111422609813,0.14066056469183089,32.0,34.0,99.0
neutral_rank_one,4,0.00015000000000000001,0.003,3.9916430985651608,0.09854157612056594,3.993160507416274,0.10405159434517004,3.9999252658132503,0.1569939817733064,32.0,34.0,99.0
neutral_rank_one,4,0.0002,0.004,3.9969915383568377,0.1228306262682099,3.9977021063412375,0.1276746226910838,3.999993259917517,0.1617966272646311,32.0,34.0,99.0
neutral_rank_one,4,0.00025,0.005,3.998933616967868,0.1388435289451975,3.999240516811695,0.14261574154677012,3.999999308219578,0.16324064146626846,32.0,34.0,99.0
