schedule_index,theta_1,theta_2,method,true_score,noisy_mean_score,noisy_per_shot_variance,cx_cost_per_evaluation
22,3.141592653589793,0.0,split,-0.05319273025225012,-0.04315501720640369,0.5373028937992028,8.0
22,3.141592653589793,0.0,dilation,-0.05319273025225012,-0.040333888192828404,0.39663802556180155,10.0
22,3.141592653589793,0.0,genexp,-0.05319273025225012,-0.010405402339915215,0.5611452943873407,54.0
23,3.141592653589793,1.5707963267948966,split,-0.05215277240077409,-0.042570878178808086,0.5178624189025446,8.0
23,3.141592653589793,1.5707963267948966,dilation,-0.05215277240077409,-0.0398072139014089,0.43308142207677675,10.0
23,3.141592653589793,1.5707963267948966,genexp,-0.05215277240077409,-0.012710746786346221,0.5530345623605523,54.0
24,3.141592653589793,3.141592653589793,split,-0.18631293183897912,-0.1469121074430651,0.5175820885510031,8.0
24,3.141592653589793,3.141592653589793,dilation,-0.18631293183897912,-0.13747872263959382,0.4521521690942051,10.0
24,3.141592653589793,3.141592653589793,genexp,-0.18631293183897912,-0.04377509153600866,0.559154466588756,54.0
25,-0.7853981633974483,-0.7853981633974483,split,0.3817483705135365,0.2973230180350874,0.504031706423542,8.0
25,-0.7853981633974483,-0.7853981633974483,dilation,0.3817483705135365,0.2782842993777866,0.423461817980282,10.0
25,-0.7853981633974483,-0.7853981633974483,genexp,0.3817483705135365,0.08650036314659248,0.5759857504040206,54.0
26,-0.7853981633974483,0.0,split,0.3935964418743362,0.30637636630064846,0.48478434424735156,8.0
26,-0.7853981633974483,0.0,dilation,0.3935964418743362,0.2867760943726906,0.44613757770666906,10.0
26,-0.7853981633974483,0.0,genexp,0.3935964418743362,0.09129790526749504,0.5693522437388251,54.0
27,-0.7853981633974483,0.7853981633974483,split,0.2542123414422032,0.19884665690680797,0.525328961763696,8.0
27,-0.7853981633974483,0.7853981633974483,dilation,0.2542123414422032,0.18611172793528857,0.4662663903902607,10.0
27,-0.7853981633974483,0.7853981633974483,genexp,0.2542123414422032,0.05871429290050299,0.5684236840030972,54.0
28,0.0,-0.7853981633974483,split,0.41498393828054037,0.3247832138530401,0.5023172932818777,8.0
28,0.0,-0.7853981633974483,dilation,0.41498393828054037,0.3039551217409036,0.42432711355403685,10.0
28,0.0,-0.7853981633974483,genexp,0.41498393828054037,0.09360812138768856,0.5811710662866757,54.0
29,0.0,0.7853981633974483,split,0.34489764110741855,0.2701284612846268,0.5072572557672493,8.0
29,0.0,0.7853981633974483,dilation,0.34489764110741855,0.2528121064231096,0.4528018921092281,10.0
29,0.0,0.7853981633974483,genexp,0.34489764110741855,0.07977670999083869,0.5718728384766075,54.0
30,0.7853981633974483,-0.7853981633974483,split,0.291383350138511,0.22904540586414943,0.5546208332765771,8.0
30,0.7853981633974483,-0.7853981633974483,dilation,0.291383350138511,0.21434235706634663,0.454961299652739,10.0
30,0.7853981633974483,-0.7853981633974483,genexp,0.291383350138511,0.06494856924026075,0.5854146781310586,54.0
31,0.7853981633974483,0.0,split,0.3674350190691779,0.28740121944973523,0.510701265538441,8.0
31,0.7853981633974483,0.0,dilation,0.3674350190691779,0.26898554782525486,0.45602485217489075,10.0
31,0.7853981633974483,0.0,genexp,0.3674350190691779,0.08438817185884481,0.5766864526106276,54.0
32,0.7853981633974483,0.7853981633974483,split,0.327275447145262,0.2559926664585885,0.5139866132060651,8.0
32,0.7853981633974483,0.7853981633974483,dilation,0.327275447145262,0.23958480127826698,0.44350305560178693,10.0
32,0.7853981633974483,0.7853981633974483,genexp,0.327275447145262,0.07497956088144446,0.5723477249661301,54.0
33,-0.39269908169872414,-0.39269908169872414,split,0.45172274146765273,0.35223286324575165,0.47134636953041537,8.0
