family,method,total_cnot_budget,shots,ideal_mse,ideal_rmse,noisy_mse,noisy_rmse,noisy_bias_squared
jordan_gamma_1,split,8540.963173770411,1067,0.0023493691737192994,0.04847029166117427,0.04379908536938465,0.2092823102160922,0.041186222853296255
jordan_gamma_1,split,8722.465681750436,1090,0.002299795328769259,0.04795618134056609,0.04374395157317361,0.20915054762819438,0.041186222853296255
jordan_gamma_1,split,8907.82526764226,1113,0.002252270357914189,0.047458090542226716,0.04369109644239447,0.20902415277281827,0.041186222853296255
jordan_gamma_1,split,9097.123897530997,1137,0.0022047290310980585,0.04695454217749395,0.04363822312125255,0.20889763790252047,0.041186222853296255
jordan_gamma_1,split,9290.44527934864,1161,0.002159153237173551,0.04646668954394697,0.04358753577721212,0.20877628164428094,0.041186222853296255
jordan_gamma_1,split,9487.874899889744,1185,0.0021154235513573777,0.0459937338270919,0.043538901591411286,0.20865977473248476,0.041186222853296255
jordan_gamma_1,split,9689.500062613693,1211,0.0020700057046725783,0.0454973153567612,0.04348838990917265,0.20853870122634946,0.041186222853296255
jordan_gamma_1,split,9895.409926250375,1236,0.002028136657247971,0.04503483826159445,0.04344182504153761,0.2084270256985346,0.041186222853296255
jordan_gamma_1,split,10105.695544226188,1263,0.001984779816594214,0.044550867742325896,0.04339360551732342,0.20831131874510186,0.041186222853296255
jordan_gamma_1,split,10320.449904927851,1290,0.0019432379134561957,0.04408217228604094,0.04334740448482053,0.208200395016005,0.041186222853296255
jordan_gamma_1,split,10539.767972822036,1317,0.001903399322975317,0.043627964919020885,0.043303097799891783,0.2080939638718331,0.041186222853296255
jordan_gamma_1,split,10763.74673044854,1345,0.001863774653054641,0.04317145646204956,0.04325902902776935,0.20798805020425895,0.041186222853296255
jordan_gamma_1,split,10992.485221306084,1374,0.0018244373423278693,0.04271343280898726,0.04321527984359197,0.20788285124942837,0.041186222853296255
