method,total_cnot_budget,trial_id,shots_per_evaluation,schedule_cx_cost,selected_theta_1,selected_theta_2,reported_best_score,selected_true_score,dense_grid_optimum_score,regret
split,31622.776601683792,4,96,328.0,0.0,0.0,0.40309941841565555,0.45492833810007927,0.46117153202478534,0.00624319392470607
split,31622.776601683792,5,96,328.0,-0.39269908169872414,-0.39269908169872414,0.5564980319507296,0.45172274146765273,0.46117153202478534,0.009448790557132603
split,31622.776601683792,6,96,328.0,0.0,0.39269908169872414,0.38410015888923543,0.4164744938764483,0.46117153202478534,0.04469703814833703
split,31622.776601683792,7,96,328.0,-0.39269908169872414,-0.39269908169872414,0.47580219066654267,0.45172274146765273,0.46117153202478534,0.009448790557132603
split,31622.776601683792,8,96,328.0,0.0,-0.7853981633974483,0.432599120502886,0.41498393828054037,0.46117153202478534,0.04618759374424497
split,31622.776601683792,9,96,328.0,-0.39269908169872414,0.0,0.434813684652837,0.4426683614663711,0.46117153202478534,0.018503170558414217
split,31622.776601683792,10,96,328.0,-0.39269908169872414,-0.39269908169872414,0.4157605830656692,0.45172274146765273,0.46117153202478534,0.009448790557132603
split,31622.776601683792,11,96,328.0,-0.7853981633974483,-0.7853981633974483,0.3960802234636657,0.3817483705135365,0.46117153202478534,0.07942316151124884
split,31622.776601683792,12,96,328.0,0.0,-0.39269908169872414,0.5270114589289443,0.45440492458022935,0.46117153202478534,0.006766607444555983
split,31622.776601683792,13,96,328.0,-0.39269908169872414,-0.39269908169872414,0.5248269253362517,0.45172274146765273,0.46117153202478534,0.009448790557132603
split,31622.776601683792,14,96,328.0,0.7853981633974483,0.0,0.42411989351874,0.3674350190691779,0.46117153202478534,0.09373651295560742
split,31622.776601683792,15,96,328.0,0.39269908169872414,-0.39269908169872414,0.46376785340281723,0.41609367348466614,0.46117153202478534,0.0450778585401192
split,31622.776601683792,16,96,328.0,0.0,0.0,0.4385903495308206,0.45492833810007927,0.46117153202478534,0.00624319392470607
split,31622.776601683792,17,96,328.0,0.39269908169872414,0.39269908169872414,0.3787877923006176,0.40550957131742704,0.46117153202478534,0.05566196070735829
split,31622.776601683792,18,96,328.0,0.39269908169872414,0.39269908169872414,0.4040581929596737,0.40550957131742704,0.46117153202478534,0.05566196070735829
split,31622.776601683792,19,96,328.0,0.7853981633974483,0.0,0.41763316703781506,0.3674350190691779,0.46117153202478534,0.09373651295560742
split,31622.776601683792,20,96,328.0,0.0,-0.7853981633974483,0.37973832575331845,0.41498393828054037,0.46117153202478534,0.04618759374424497
split,31622.776601683792,21,96,328.0,0.0,0.0,0.4533129344284319,0.45492833810007927,0.46117153202478534,0.00624319392470607
split,31622.776601683792,22,96,328.0,0.0,-0.7853981633974483,0.43980119458027167,0.41498393828054037,0.46117153202478534,0.04618759374424497
split,31622.776601683792,23,96,328.0,-0.39269908169872414,-0.39269908169872414,0.4636979506655872,0.45172274146765273,0.46117153202478534,0.009448790557132603
split,31622.776601683792,24,96,328.0,-0.39269908169872414,-0.39269908169872414,0.4336216504383541,0.45172274146765273,0.46117153202478534,0.009448790557132603
split,31622.776601683792,25,96,328.0,0.0,0.0,0.4157174242334666,0.45492833810007927,0.46117153202478534,0.00624319392470607
split,31622.776601683792,26,96,328.0,0.0,0.0,0.5091196610995063,0.45492833810007927,0.46117153202478534,0.00624319392470607
split,31622.776601683792,27,96,328.0,0.0,0.0,0.4856013951447121,0.45492833810007927,0.46117153202478534,0.00624319392470607
split,31622.776601683792,28,96,328.0,0.0,0.0,0.3815281087392984,0.45492833810007927,0.46117153202478534,0.00624319392470607
split,31622.776601683792,29,96,328.0,0.39269908169872414,0.0,0.5682268922044349,0.4285099014699435,0.46117153202478534,0.032661630554841836
split,31622.776601683792,30,96,328.0,0.0,-0.39269908169872414,0.5034774003905099,0.45440492458022935,0.46117153202478534,0.006766607444555983
split,31622.776601683792,31,96,328.0,0.7853981633974483,0.0,0.45442157970093233,0.3674350190691779,0.46117153202478534,0.09373651295560742
split,31622.776601683792,32,96,328.0,-0.7853981633974483,-0.7853981633974483,0.4544952168656809,0.3817483705135365,0.46117153202478534,0.07942316151124884
split,31622.776601683792,33,96,328.0,0.0,0.0,0.4868394943657387,0.45492833810007927,0.46117153202478534,0.00624319392470607
split,31622.776601683792,34,96,328.0,0.0,-0.7853981633974483,0.3884927831099654,0.41498393828054037,0.46117153202478534,0.04618759374424497
split,31622.776601683792,35,96,328.0,0.0,0.39269908169872414,0.41768001666874627,0.4164744938764483,0.46117153202478534,0.04469703814833703
